id,activityType,startTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories,activityMonth,activityDay,activityMonthName,activityDayName,activityLevel,activityMins
53,Cycling,2016-12-22 00:19:00,7.06,,9.2,144.0,163.0,,609.0,12,3,December,Thursday,Moderate,46.13
54,Strength Training,2016-12-21 22:39:00,,,,101.0,153.0,,431.0,12,2,December,Wednesday,Very Light,71.38
55,Strength Training,2016-12-20 22:12:00,,,,107.0,160.0,,547.0,12,1,December,Tuesday,Very Light,86.48
56,Cycling,2016-12-20 14:27:00,4.33,,8.2,129.0,157.0,,353.0,12,1,December,Tuesday,Light,31.32
57,Cycling,2016-12-20 12:30:00,3.46,,8.4,113.0,128.0,,206.0,12,1,December,Tuesday,Very Light,24.44
58,Strength Training,2016-12-19 20:02:00,,,,111.0,157.0,,609.0,12,0,December,Monday,Very Light,86.53
59,Cycling,2016-12-17 21:33:00,5.24,190.0,7.9,114.0,140.0,,309.0,12,5,December,Saturday,Light,39.42
60,Cardio,2016-12-16 21:15:00,,,,116.0,126.0,,148.0,12,4,December,Friday,Light,16.17
61,Treadmill Running,2016-12-16 20:27:00,2.01,13.0,12.51,128.0,155.0,3374.0,266.0,12,4,December,Friday,Light,25.46
62,Strength Training,2016-12-15 22:43:00,,,,113.0,158.0,,592.0,12,3,December,Thursday,Very Light,78.13
63,Cycling,2016-12-09 00:04:00,6.31,262.0,11.3,161.0,177.0,,511.0,12,4,December,Friday,Hard,33.24
64,Strength Training,2016-12-08 21:17:00,,,,131.0,174.0,,564.0,12,3,December,Thursday,Light,57.48
65,Cycling,2016-12-04 23:57:00,6.74,292.0,11.0,157.0,183.0,,538.0,12,6,December,Sunday,Hard,36.47
66,Strength Training,2016-12-03 22:05:00,,,,120.0,157.0,,444.0,12,5,December,Saturday,Light,48.03
67,Cardio,2016-12-02 03:10:00,,,,93.0,152.0,,87.0,12,4,December,Friday,Very Light,15.15
68,Cycling,2016-12-01 19:23:00,4.99,180.0,8.8,127.0,166.0,,363.0,12,3,December,Thursday,Light,34.01
69,Cycling,2016-12-01 18:27:00,4.1,52.0,6.8,109.0,123.0,,261.0,12,3,December,Thursday,Very Light,35.53
70,Strength Training,2016-11-30 22:50:00,,,,113.0,161.0,,503.0,11,2,November,Wednesday,Very Light,68.46
71,Cardio,2016-11-27 18:19:00,,,,82.0,106.0,,18.0,11,6,November,Sunday,Very Light,4.28
72,Strength Training,2016-11-23 18:24:00,,,,115.0,156.0,,446.0,11,2,November,Wednesday,Light,57.02
73,Running,2016-11-21 22:52:00,3.92,,10.48,130.0,157.0,,515.0,11,0,November,Monday,Light,42.18
74,Strength Training,2016-11-08 21:33:00,,,,108.0,151.0,,659.0,11,1,November,Tuesday,Very Light,75.0
75,Strength Training,2016-11-03 22:33:00,,,,107.0,148.0,,689.0,11,3,November,Thursday,Very Light,79.38
76,Strength Training,2016-11-01 22:49:00,,,,113.0,146.0,,716.0,11,1,November,Tuesday,Very Light,74.3
77,Strength Training,2016-10-30 23:48:00,,,,124.0,166.0,,772.0,10,6,October,Sunday,Light,68.29
78,Strength Training,2016-10-28 21:46:00,,,,120.0,174.0,,755.0,10,4,October,Friday,Light,70.29
79,Cardio,2016-10-26 23:06:00,,,,110.0,168.0,,1719.0,10,2,October,Wednesday,Very Light,187.54
80,Running,2016-10-24 22:11:00,3.94,,12.51,119.0,165.0,,528.0,10,0,October,Monday,Light,50.4
81,Strength Training,2016-10-23 21:34:00,,,,110.0,168.0,,735.0,10,6,October,Sunday,Very Light,81.18
82,Strength Training,2016-10-22 06:27:00,,,,99.0,135.0,,431.0,10,5,October,Saturday,Very Light,59.11
83,Running,2016-10-21 16:42:00,8.22,,8.46,145.0,169.0,,1046.0,10,4,October,Friday,Moderate,72.04
84,Strength Training,2016-10-13 07:23:00,,,,116.0,153.0,,783.0,10,3,October,Thursday,Light,77.55
85,Running,2016-10-12 07:15:00,2.0,,11.43,135.0,168.0,,303.0,10,2,October,Wednesday,Moderate,23.23
86,Strength Training,2016-10-11 08:04:00,,,,128.0,165.0,,762.0,10,1,October,Tuesday,Light,64.11
87,Strength Training,2016-10-09 06:15:00,,,,118.0,152.0,,737.0,10,6,October,Sunday,Light,71.29
88,Strength Training,2016-10-06 08:32:00,,,,124.0,183.0,,548.0,10,3,October,Thursday,Light,48.38
89,Strength Training,2016-10-04 07:38:00,,,,122.0,162.0,,894.0,10,1,October,Tuesday,Light,81.38
90,Running,2016-10-03 07:57:00,0.99,,8.19,159.0,167.0,,137.0,10,0,October,Monday,Hard,8.12
91,Strength Training,2016-09-30 08:24:00,,,,104.0,147.0,,527.0,9,4,September,Friday,Very Light,64.22
92,Running,2016-09-28 08:31:00,1.1,,12.42,136.0,171.0,,183.0,9,2,September,Wednesday,Moderate,13.59
93,Strength Training,2016-09-27 08:39:00,,,,121.0,156.0,,552.0,9,1,September,Tuesday,Light,51.18
94,Running,2016-09-25 04:06:00,5.89,,8.13,161.0,177.0,,825.0,9,6,September,Sunday,Hard,48.23
95,Running,2016-09-21 07:55:00,1.63,,8.11,143.0,164.0,,191.0,9,2,September,Wednesday,Moderate,13.23
96,Strength Training,2016-09-20 07:23:00,,,,125.0,167.0,,859.0,9,1,September,Tuesday,Light,75.28
97,Running,2016-09-18 06:57:00,2.59,,11.45,157.0,188.0,,502.0,9,6,September,Sunday,Hard,30.24
98,Running,2016-09-15 03:03:00,2.62,,11.53,150.0,184.0,,481.0,9,3,September,Thursday,Moderate,31.12
99,Strength Training,2016-09-13 08:12:00,,,,123.0,162.0,,735.0,9,1,September,Tuesday,Light,65.45
100,Running,2016-09-10 18:32:00,3.15,164.0,9.1,,,4530.0,412.0,9,5,September,Saturday,Not Recorded,28.55
101,Strength Training,2016-09-10 06:24:00,,,,101.0,148.0,,514.0,9,5,September,Saturday,Very Light,66.23
102,Running,2016-09-08 06:59:00,2.8,,13.04,142.0,174.0,,515.0,9,3,September,Thursday,Moderate,36.37
103,Running,2016-09-04 18:13:00,6.22,253.0,9.32,164.0,177.0,9212.0,827.0,9,6,September,Sunday,Hard,59.23
104,Strength Training,2016-09-03 06:18:00,,,,113.0,175.0,,619.0,9,5,September,Saturday,Very Light,65.07
105,Strength Training,2016-09-01 07:43:00,,,,105.0,145.0,,604.0,9,3,September,Thursday,Very Light,72.1
106,Cardio,2016-08-31 05:42:00,,,,123.0,176.0,,598.0,8,2,August,Wednesday,Light,54.02
107,Running,2016-08-28 19:02:00,2.39,85.0,9.34,,,3600.0,314.0,8,6,August,Sunday,Not Recorded,22.55
108,Running,2016-08-27 03:29:00,3.85,,8.22,149.0,174.0,,493.0,8,5,August,Saturday,Moderate,32.12
109,Cardio,2016-08-24 06:29:00,,,,125.0,165.0,,766.0,8,2,August,Wednesday,Light,66.42
110,Running,2016-08-22 08:55:00,1.24,89.0,9.5,,,1834.0,156.0,8,0,August,Monday,Not Recorded,12.14
111,Running,2016-08-19 18:25:00,0.79,3.0,11.2,,,1350.0,97.0,8,4,August,Friday,Not Recorded,8.57
112,Cardio,2016-08-12 19:42:00,,,,125.0,150.0,,344.0,8,4,August,Friday,Light,30.08
113,Running,2016-08-12 18:59:00,4.45,,9.19,142.0,163.0,,583.0,8,4,August,Friday,Moderate,41.27
114,Cardio,2016-08-11 20:26:00,,,,113.0,157.0,,901.0,8,3,August,Thursday,Very Light,94.33
115,Running,2016-08-09 20:55:00,3.91,,10.01,135.0,157.0,,503.0,8,1,August,Tuesday,Moderate,39.09
116,Cardio,2016-08-08 21:35:00,,,,123.0,175.0,,389.0,8,0,August,Monday,Light,35.19
117,Cardio,2016-08-08 20:36:00,,,,108.0,148.0,,452.0,8,0,August,Monday,Very Light,51.25
118,Running,2016-08-06 20:46:00,2.8,,9.05,139.0,156.0,,346.0,8,5,August,Saturday,Moderate,25.24
119,Cardio,2016-08-06 20:22:00,,,,111.0,147.0,,194.0,8,5,August,Saturday,Very Light,21.01
120,Cardio,2016-08-06 19:55:00,,,,117.0,149.0,,244.0,8,5,August,Saturday,Light,23.56
121,Running,2016-08-06 19:31:00,2.4,,9.39,134.0,155.0,,299.0,8,5,August,Saturday,Moderate,23.11
122,Cardio,2016-08-05 20:39:00,,,,121.0,175.0,,926.0,8,4,August,Friday,Light,84.17
123,Running,2016-08-03 20:51:00,3.61,,10.11,148.0,173.0,,559.0,8,2,August,Wednesday,Moderate,36.43
124,Running,2016-08-03 20:41:00,0.72,,9.22,121.0,137.0,,70.0,8,2,August,Wednesday,Light,6.42
125,Running,2016-08-02 21:54:00,0.87,,8.36,139.0,163.0,,100.0,8,1,August,Tuesday,Moderate,7.31
126,Cardio,2016-08-02 20:35:00,,,,105.0,149.0,,661.0,8,1,August,Tuesday,Very Light,78.08
127,Cardio,2016-07-30 20:35:00,,,,101.0,131.0,,134.0,7,5,July,Saturday,Very Light,17.11
128,Cardio,2016-07-28 19:26:00,,,,114.0,167.0,,833.0,7,3,July,Thursday,Light,83.18
129,Cardio,2016-07-27 21:17:00,,,,124.0,152.0,,483.0,7,2,July,Wednesday,Light,41.1
130,Running,2016-07-26 20:41:00,3.97,,8.54,147.0,166.0,,541.0,7,1,July,Tuesday,Moderate,35.2
131,Cardio,2016-07-25 20:47:00,,,,112.0,147.0,,717.0,7,0,July,Monday,Very Light,74.11
132,Cardio,2016-07-23 20:13:00,,,,123.0,178.0,,1341.0,7,5,July,Saturday,Light,116.35
133,Cardio,2016-07-22 20:50:00,,,,111.0,135.0,,359.0,7,4,July,Friday,Very Light,37.41
134,Cardio,2016-07-20 21:06:00,,,,121.0,157.0,,710.0,7,2,July,Wednesday,Light,63.28
135,Cardio,2016-07-19 20:26:00,,,,116.0,166.0,,1000.0,7,1,July,Tuesday,Light,97.07
136,Cardio,2016-07-18 20:51:00,,,,124.0,163.0,,860.0,7,0,July,Monday,Light,73.57
137,Cardio,2016-07-16 20:41:00,,,,113.0,154.0,,651.0,7,5,July,Saturday,Very Light,65.58
138,Cardio,2016-07-15 20:22:00,,,,108.0,176.0,,812.0,7,4,July,Friday,Very Light,95.06
139,Cardio,2016-07-14 20:39:00,,,,123.0,183.0,,962.0,7,3,July,Thursday,Light,83.44
140,Running,2016-07-13 21:17:00,3.05,,10.51,141.0,159.0,,476.0,7,2,July,Wednesday,Moderate,33.07
141,Cardio,2016-07-13 20:31:00,,,,94.0,142.0,,200.0,7,2,July,Wednesday,Very Light,29.46
142,Cardio,2016-07-12 20:46:00,,,,118.0,165.0,,539.0,7,1,July,Tuesday,Light,50.1
143,Cardio,2016-07-11 21:19:00,,,,110.0,143.0,,241.0,7,0,July,Monday,Very Light,25.48
144,Cardio,2016-07-11 20:42:00,,,,105.0,144.0,,165.0,7,0,July,Monday,Very Light,19.31
145,Running,2016-07-11 20:29:00,1.4,,9.11,133.0,153.0,,163.0,7,0,July,Monday,Moderate,12.5
146,Cardio,2016-07-09 18:35:00,,,,118.0,158.0,,887.0,7,5,July,Saturday,Light,82.42
147,Cardio,2016-07-08 18:41:00,,,,112.0,133.0,,587.0,7,4,July,Friday,Very Light,60.05
148,Cardio,2016-07-07 11:05:00,,,,122.0,175.0,,1250.0,7,3,July,Thursday,Light,109.19
149,Cardio,2016-07-06 21:50:00,,,,93.0,142.0,,407.0,7,2,July,Wednesday,Very Light,61.54
150,Cardio,2016-07-05 20:10:00,,,,100.0,134.0,,674.0,7,1,July,Tuesday,Very Light,86.26
151,Cardio,2016-07-05 18:50:00,,,,113.0,160.0,,674.0,7,1,July,Tuesday,Very Light,67.58
152,Cardio,2016-07-04 20:42:00,,,,118.0,157.0,,1405.0,7,0,July,Monday,Light,130.45
153,Cardio,2016-07-02 13:20:00,,,,113.0,146.0,,1046.0,7,5,July,Saturday,Very Light,107.08
154,Cardio,2016-06-27 20:32:00,,,,124.0,181.0,,1567.0,6,0,June,Monday,Light,133.39
155,Cardio,2016-06-25 19:58:00,,,,108.0,157.0,,1123.0,6,5,June,Saturday,Very Light,123.22
156,Cardio,2016-06-17 18:35:00,,,,106.0,174.0,,693.0,6,4,June,Friday,Very Light,80.06
157,Cardio,2016-06-16 21:05:00,,,,104.0,141.0,,434.0,6,3,June,Thursday,Very Light,51.47
158,Cardio,2016-06-13 21:30:00,,,,123.0,174.0,,647.0,6,0,June,Monday,Light,56.21
159,Cardio,2016-06-12 07:40:00,,,,135.0,166.0,,995.0,6,6,June,Sunday,Moderate,73.41
160,Cardio,2016-06-11 19:04:00,,,,114.0,147.0,,951.0,6,5,June,Saturday,Light,94.03
161,Cardio,2016-06-10 18:14:00,,,,110.0,166.0,,953.0,6,4,June,Friday,Very Light,102.25
162,Cardio,2016-06-09 20:20:00,,,,116.0,168.0,,1215.0,6,3,June,Thursday,Light,116.46
163,Cardio,2016-06-06 20:43:00,,,,128.0,170.0,,1042.0,6,0,June,Monday,Light,84.32
164,Cardio,2016-06-04 19:40:00,,,,109.0,166.0,,948.0,6,5,June,Saturday,Very Light,101.49
165,Cardio,2016-06-04 17:04:00,,,,128.0,174.0,,1556.0,6,5,June,Saturday,Light,126.03
166,Cardio,2016-06-02 20:44:00,,,,121.0,161.0,,1263.0,6,3,June,Thursday,Light,112.55
167,Cardio,2016-05-28 20:30:00,,,,112.0,157.0,,731.0,5,5,May,Saturday,Very Light,75.2
168,Cardio,2016-05-27 19:34:00,,,,106.0,184.0,,1767.0,5,4,May,Friday,Very Light,203.57
169,Cardio,2016-05-24 22:21:00,,,,112.0,131.0,,193.0,5,1,May,Tuesday,Very Light,20.05
170,Cardio,2016-05-23 20:40:00,,,,116.0,166.0,,1315.0,5,0,May,Monday,Light,125.48
171,Cardio,2016-05-21 19:49:00,,,,111.0,160.0,,1044.0,5,5,May,Saturday,Very Light,109.52
172,Cardio,2016-05-20 20:09:00,,,,109.0,156.0,,754.0,5,4,May,Friday,Very Light,82.27
173,Cardio,2016-05-20 18:58:00,,,,97.0,148.0,,180.0,5,4,May,Friday,Very Light,25.05
174,Cardio,2016-05-19 20:10:00,,,,106.0,156.0,,548.0,5,3,May,Thursday,Very Light,62.4
175,Cardio,2016-05-18 20:22:00,,,,109.0,170.0,,815.0,5,2,May,Wednesday,Very Light,89.09
176,Cardio,2016-05-17 19:09:00,,,,122.0,147.0,,284.0,5,1,May,Tuesday,Light,25.01
177,Cardio,2016-05-16 20:47:00,,,,117.0,182.0,,1178.0,5,0,May,Monday,Light,112.45
178,Cardio,2016-05-14 18:32:00,,,,114.0,145.0,,789.0,5,5,May,Saturday,Light,79.03
179,Cardio,2016-05-13 20:09:00,,,,117.0,148.0,,702.0,5,4,May,Friday,Light,67.16
180,Cardio,2016-05-13 18:41:00,,,,133.0,171.0,,945.0,5,4,May,Friday,Moderate,72.14
181,Cardio,2016-05-11 19:50:00,,,,108.0,143.0,,892.0,5,2,May,Wednesday,Very Light,98.32
182,Cardio,2016-05-09 20:45:00,,,,119.0,178.0,,958.0,5,0,May,Monday,Light,90.06
183,Running,2016-05-08 19:35:00,8.51,,8.17,153.0,164.0,,1136.0,5,6,May,Sunday,Hard,70.24
184,Cardio,2016-05-07 19:50:00,,,,104.0,160.0,,803.0,5,5,May,Saturday,Very Light,95.31
185,Cardio,2016-05-06 19:52:00,,,,106.0,170.0,,1243.0,5,4,May,Friday,Very Light,145.46
186,Cardio,2016-05-06 19:14:00,,,,126.0,177.0,,233.0,5,4,May,Friday,Light,20.02
187,Running,2016-05-06 18:30:00,3.91,,8.11,148.0,167.0,,485.0,5,4,May,Friday,Moderate,31.59
188,Cardio,2016-05-05 20:30:00,,,,116.0,160.0,,1099.0,5,3,May,Thursday,Light,107.38
189,Cardio,2016-05-04 20:32:00,,,,115.0,172.0,,999.0,5,2,May,Wednesday,Light,99.25
190,Cardio,2016-05-03 19:49:00,,,,115.0,129.0,,168.0,5,1,May,Tuesday,Light,17.04
191,Running,2016-05-03 19:12:00,3.26,,8.14,153.0,167.0,,428.0,5,1,May,Tuesday,Hard,26.52
192,Cardio,2016-05-02 20:23:00,,,,117.0,154.0,,1222.0,5,0,May,Monday,Light,118.21
