id,activityType,startTime,activityTime,actDistance,elevationGain,avgSpeed,avgHR,maxHR,steps,calories
59,Cycling,"Sat, 17 Dec 2016 9:33 PM",39:42,5.24,190.0,7.9,114.0,140.0,,309.0
60,Cardio,"Fri, 16 Dec 2016 9:15 PM",16:17,,,,116.0,126.0,,148.0
61,Treadmill Running,"Fri, 16 Dec 2016 8:27 PM",25:46,2.01,13.0,12.51,128.0,155.0,3374.0,266.0
62,Strength Training,"Thu, 15 Dec 2016 10:43 PM",1:18:13,,,,113.0,158.0,,592.0
63,Cycling,"Fri, 9 Dec 2016 12:04 AM",33:24,6.31,262.0,11.3,161.0,177.0,,511.0
64,Strength Training,"Thu, 8 Dec 2016 9:17 PM",57:48,,,,131.0,174.0,,564.0
65,Cycling,"Sun, 4 Dec 2016 11:57 PM",36:47,6.74,292.0,11.0,157.0,183.0,,538.0
66,Strength Training,"Sat, 3 Dec 2016 10:05 PM",48:03,,,,120.0,157.0,,444.0
67,Cardio,"Fri, 2 Dec 2016 3:10 AM",15:15,,,,93.0,152.0,,87.0
68,Cycling,"Thu, 1 Dec 2016 7:23 PM",34:01,4.99,180.0,8.8,127.0,166.0,,363.0
69,Cycling,"Thu, 1 Dec 2016 6:27 PM",35:53,4.1,52.0,6.8,109.0,123.0,,261.0
70,Strength Training,"Wed, 30 Nov 2016 10:50 PM",1:08:46,,,,113.0,161.0,,503.0
71,Cardio,"Sun, 27 Nov 2016 6:19 PM",4:28,,,,82.0,106.0,,18.0
72,Strength Training,"Wed, 23 Nov 2016 6:24 PM",57:02,,,,115.0,156.0,,446.0
73,Running,"Mon, 21 Nov 2016 10:52 PM",42:18,3.92,,10.48,130.0,157.0,,515.0
74,Strength Training,"Tue, 8 Nov 2016 9:33 PM",1:15:00,,,,108.0,151.0,,659.0
75,Strength Training,"Thu, 3 Nov 2016 10:33 PM",1:19:38,,,,107.0,148.0,,689.0
76,Strength Training,"Tue, 1 Nov 2016 10:49 PM",1:14:30,,,,113.0,146.0,,716.0
77,Strength Training,"Sun, 30 Oct 2016 11:48 PM",1:08:29,,,,124.0,166.0,,772.0
78,Strength Training,"Fri, 28 Oct 2016 9:46 PM",1:10:29,,,,120.0,174.0,,755.0
79,Cardio,"Wed, 26 Oct 2016 11:06 PM",3:07:54,,,,110.0,168.0,,1719.0
80,Running,"Mon, 24 Oct 2016 10:11 PM",50:40,3.94,,12.51,119.0,165.0,,528.0
81,Strength Training,"Sun, 23 Oct 2016 9:34 PM",1:21:18,,,,110.0,168.0,,735.0
82,Strength Training,"Sat, 22 Oct 2016 6:27 AM",59:11,,,,99.0,135.0,,431.0
83,Running,"Fri, 21 Oct 2016 4:42 PM",1:12:04,8.22,,8.46,145.0,169.0,,1046.0
84,Strength Training,"Thu, 13 Oct 2016 7:23 AM",1:17:55,,,,116.0,153.0,,783.0
